city,city_ascii,lat,lng,country,admin_name,population
"Vallirana","Vallirana",41.3878,1.9322,"Spain","Catalonia",15985
"Sertã","Serta",39.8008,-8.1003,"Portugal","Castelo Branco",15880
"Villalbilla","Villalbilla",40.4339,-3.2989,"Spain","Madrid",15866
"Miguelturra","Miguelturra",38.9667,-3.95,"Spain","Castille-La Mancha",15834
"Batalha","Batalha",39.6603,-8.8247,"Portugal","Leiria",15805
"Cunit","Cunit",41.1983,1.6406,"Spain","Catalonia",15804
"Tarancón","Tarancon",40.0167,-3,"Spain","Castille-La Mancha",15799
"Macedo de Cavaleiros","Macedo de Cavaleiros",41.5333,-6.95,"Portugal","Bragança",15776
"Ramada","Ramada",38.8036,-9.1911,"Portugal","Lisboa",15770
"Meco","Meco",40.5539,-3.3261,"Spain","Madrid",15732
"Corbera de Llobregat","Corbera de Llobregat",41.4169,1.9314,"Spain","Catalonia",15726
"Baeza","Baeza",37.9833,-3.4667,"Spain","Andalusia",15677
"Ermúa","Ermua",43.1875,-2.5008,"Spain","Basque Country",15627
"Serpa","Serpa",37.9333,-7.5833,"Portugal","Beja",15623
"La Roda","La Roda",39.207,-2.1604,"Spain","Castille-La Mancha",15610
"Santa Cruz de la Palma","Santa Cruz de la Palma",28.6825,-17.765,"Spain","Canary Islands",15565
"Mollerusa","Mollerusa",41.6319,0.8961,"Spain","Catalonia",15544
"Montijo","Montijo",38.91,-6.6175,"Spain","Extremadura",15483
"Fraga","Fraga",41.52,0.35,"Spain","Aragon",15390
"Santa Úrsula","Santa Ursula",28.425,-16.4917,"Spain","Canary Islands",15386
"Villaviciosa","Villaviciosa",43.4833,-5.4333,"Spain","Asturias",15342
"Castro Daire","Castro Daire",40.9,-7.9333,"Portugal","Viseu",15339
"Santafé","Santafe",37.1894,-3.7181,"Spain","Andalusia",15269
"Penacova","Penacova",40.2667,-8.2667,"Portugal","Coimbra",15251
"Cuevas del Almanzora","Cuevas del Almanzora",37.3,-1.8667,"Spain","Andalusia",15246
"La Solana","La Solana",38.65,-3.0667,"Spain","Castille-La Mancha",15225
"Arnedo","Arnedo",42.2167,-2.1,"Spain","La Rioja",15219
"Vieiro","Vieiro",43.6481,-7.59,"Spain","Galicia",15217
"Azpeitia","Azpeitia",43.1819,-2.2653,"Spain","Basque Country",15208
"Moura","Moura",38.1397,-7.4505,"Portugal","Beja",15167
"Sobreda","Sobreda",38.6496,-9.1898,"Portugal","Setúbal",15166
"Nazaré","Nazare",39.6,-9.0667,"Portugal","Leiria",15158
"Canet de Mar","Canet de Mar",41.5833,2.5833,"Spain","Catalonia",15140
"Cuarte de Huerva","Cuarte de Huerva",41.5833,-0.9167,"Spain","Aragon",15112
"Gondomar","Gondomar",42.1111,-8.7611,"Spain","Galicia",15103
"Torelló","Torello",42.0495,2.265,"Spain","Catalonia",15093
"Ogíjares","Ogijares",37.1167,-3.6,"Spain","Andalusia",15063
"Alpedrete","Alpedrete",40.6583,-4.0322,"Spain","Madrid",15006
"Sopelana","Sopelana",43.3814,-2.9792,"Spain","Basque Country",14940
"Grândola","Grandola",38.1768,-8.5689,"Portugal","Setúbal",14826
"Anta","Anta",41.0073,-8.625,"Portugal","Aveiro",14800
"La Carolina","La Carolina",38.2667,-3.6167,"Spain","Andalusia",14681
"Santa Marta de Tormes","Santa Marta de Tormes",40.9494,-5.6325,"Spain","Castille-Leon",14661
"Alginet","Alginet",39.2625,-0.4683,"Spain","Valencia",14652
"Andoain","Andoain",43.2167,-2.0167,"Spain","Basque Country",14563
"Falagueira","Falagueira",38.7589,-9.2261,"Portugal","Lisboa",14530
"Cadaval","Cadaval",39.25,-9.1,"Portugal","Lisboa",14525
"Cehegín","Cehegin",38.0925,-1.7989,"Spain","Murcia",14476
"Ocaña","Ocana",39.9569,-3.4967,"Spain","Castille-La Mancha",14469
"Lagoa","Lagoa",37.75,-25.5833,"Portugal","Azores",14442
"Valbom","Valbom",41.1333,-8.5667,"Portugal","Porto",14407
"La Carlota","La Carlota",37.6667,-4.9333,"Spain","Andalusia",14381
"Sanlúcar la Mayor","Sanlucar la Mayor",37.3831,-6.2,"Spain","Andalusia",14375
"Bollullos par del Condado","Bollullos par del Condado",37.3358,-6.5364,"Spain","Andalusia",14359
"Horta","Horta",38.5333,-28.6333,"Portugal","Azores",14331
"Estremoz","Estremoz",38.8422,-7.5881,"Portugal","Évora",14318
"Sines","Sines",37.9547,-8.8642,"Portugal","Setúbal",14238
"São Martinho do Bispo","Sao Martinho do Bispo",40.2092,-8.4765,"Portugal","Coimbra",14147
"Valença","Valenca",42.0282,-8.6339,"Portugal","Viana do Castelo",14127
"Pilas","Pilas",37.3017,-6.2986,"Spain","Andalusia",14105
"Torrijos","Torrijos",39.9833,-4.2814,"Spain","Castille-La Mancha",14099
"Noya","Noya",42.7833,-8.8833,"Spain","Galicia",14092
"Nules","Nules",39.8525,-0.1506,"Spain","Valencia",14062
"Gouveia","Gouveia",40.5,-7.6,"Portugal","Guarda",14046
"Nelas","Nelas",40.5167,-7.85,"Portugal","Viseu",14037
"Gafanha da Nazaré","Gafanha da Nazare",40.6333,-8.7167,"Portugal","Aveiro",14021
"Beasain","Beasain",43.0458,-2.1894,"Spain","Basque Country",13961
"Torre del Campo","Torre del Campo",37.7667,-3.8833,"Spain","Andalusia",13944
"Llanera","Llanera",43.4667,-5.9333,"Spain","Asturias",13938
"Moralzarzal","Moralzarzal",40.675,-3.9694,"Spain","Madrid",13905
"Jaca","Jaca",42.55,-0.55,"Spain","Aragon",13883
"Alcanena","Alcanena",39.4589,-8.6689,"Portugal","Santarém",13868
"Santa Cruz de Bezana","Santa Cruz de Bezana",43.4442,-3.9031,"Spain","Cantabria",13832
"Antigua","Antigua",28.4186,-14.0111,"Spain","Canary Islands",13832
"Verín","Verin",41.9408,-7.4358,"Spain","Galicia",13798
"Villalba","Villalba",43.3,-7.6833,"Spain","Galicia",13787
"Tomiño","Tomino",41.9833,-8.7167,"Spain","Galicia",13782
"San Agustín de Guadalix","San Agustin de Guadalix",40.6781,-3.615,"Spain","Madrid",13762
"Santa Margarita","Santa Margarita",39.7033,3.1036,"Spain","Balearic Islands",13757
"Cambados","Cambados",42.5,-8.8,"Spain","Galicia",13752
"Sóller","Soller",39.7675,2.714,"Spain","Balearic Islands",13744
"Santa Coloma de Farnés","Santa Coloma de Farnes",41.8647,2.6642,"Spain","Catalonia",13657
"Llanes","Llanes",43.4214,-4.7564,"Spain","Asturias",13549
"Gines","Gines",37.3875,-6.0781,"Spain","Andalusia",13524
